호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
4호선,414,수유,1163237,1008590,1216217,1210457,1249218,1147329,1178680,1127376,1108840,1208379,1175636,1200902
4호선,415,미아,508326,441222,551164,557043,572002,520945,519356,490999,501059,550920,535105,537800
4호선,416,미아사거리,897433,781207,945307,956628,997659,914707,947555,906334,879155,973629,958114,993174
4호선,417,길음,675557,582225,773381,775762,797194,703292,699809,656273,698610,765357,748277,736995
4호선,418,성신여대입구,706498,621746,810028,791012,833898,739314,730445,702586,731105,789563,777087,782829
4호선,419,한성대입구,455325,394156,543868,550893,581615,498889,477009,453032,493755,550297,526865,511889
4호선,420,혜화,1271187,1061292,1304701,1267549,1374961,1238488,1270389,1248182,1184748,1335983,1347718,1421825
4호선,421,동대문(4),744939,636318,801359,784122,834260,751358,783264,715258,678600,805115,755280,769932
4호선,422,동대문역사문화공원(4),673520,599866,738043,707568,755535,689294,710888,707996,632296,737312,699080,741255
4호선,423,충무로(4),913851,763458,1024908,1053668,1038934,925428,932966,879784,918931,1036228,1019562,981591
4호선,424,명동,1093071,993507,1293901,1257147,1225300,1154532,1094170,1116863,1096741,1257230,1199011,1261856
4호선,425,회현,905784,765236,987300,995541,1015713,925035,944545,888221,835762,998656,941869,946556
