호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
6호선,2618,증산,315068,272240,334181,340992,347045,320556,328475,313571,307062,341984,331384,335325
6호선,2619,디지털미디어시티(6),409410,340528,413701,423623,428273,390795,418925,394679,390853,446625,434469,427815
6호선,2620,월드컵경기장,161302,142566,223937,199181,253537,225152,219935,187777,213143,416938,234852,165119
6호선,2621,마포구청,449693,384146,467757,473850,484053,442025,464541,435806,429598,499624,468197,461265
6호선,2622,망원,441296,376728,454202,447922,461896,425373,442948,430839,417284,470519,451142,462689
6호선,2623,합정(6),480282,414541,496257,479317,499590,467181,481599,468669,440063,486788,457960,471302
6호선,2624,상수,315855,273529,346534,333793,355113,314146,317550,313306,310793,349823,339184,348285
6호선,2625,광흥창,291516,243975,298496,306646,295726,282495,301555,281957,271199,305599,299616,297230
6호선,2626,대흥,259680,216092,295651,301516,312561,276097,274956,251774,270442,299880,296773,284649
6호선,2627,공덕(6),566963,471976,573199,588102,585731,538671,579230,539670,523206,597619,582009,590337
6호선,2628,효창공원앞,217659,184114,236130,243024,244979,220140,223006,203499,207869,244693,231823,228511
6호선,2629,삼각지(6),203091,173410,219126,219910,233186,218217,212684,207718,201631,237929,225532,233969
6호선,2630,녹사평,177511,157894,203363,189225,199788,191242,189899,184127,175986,213582,186135,192789
6호선,2631,이태원,485062,432383,519153,484233,514240,496584,475123,495650,456757,588704,487629,535471
6호선,2632,한강진,267026,224810,279243,274178,283175,264014,265952,278618,247905,278581,276396,283467
6호선,2633,버티고개,73670,62605,78933,79650,81283,73601,74904,70581,71181,79304,77498,77038
6호선,2634,약수(6),119899,99616,122787,124101,125679,114417,121718,116076,111473,124966,122371,123329
6호선,2635,청구(6),114187,96926,118810,120114,122460,113309,120679,111661,109493,123874,118230,117375
6호선,2636,신당(6),274694,224605,292401,288899,291461,268589,269419,253747,248818,285943,283826,299392
6호선,2637,동묘앞(6),287334,264252,315390,303331,317067,287697,283024,271419,271941,316447,298969,302094
6호선,2638,창신,108704,92099,120307,123859,124822,112495,114066,106355,110291,121207,119333,115905
6호선,2639,보문,229829,197781,246253,245144,255416,232206,240517,224098,225587,250469,243999,242098
6호선,2640,안암,355325,303700,494473,462958,492853,407527,384626,359068,434518,455583,465184,432814
6호선,2641,고려대,268343,227889,316511,323992,340813,290840,281113,261471,297401,327645,319340,305882
6호선,2642,월곡,377865,318176,425799,424443,432373,377897,374864,356780,386029,424006,413947,406826
6호선,2643,상월곡,190691,164477,211691,215038,224577,201661,201427,192248,200509,220218,215417,211743
6호선,2644,돌곶이,253382,214234,272501,278028,286819,259214,269983,261921,258691,288335,284577,286759
6호선,2645,석계(6),396591,341525,429214,430780,445680,401285,407253,390282,393310,432666,425747,422189
6호선,2646,태릉입구(6),167783,143343,181447,182369,213444,174223,175175,166691,166508,186493,182515,181174
6호선,2647,화랑대,373247,315273,420758,427824,447541,390718,392648,367469,390616,437711,427045,409725
6호선,2648,봉화산,310801,263339,319970,325611,333417,304669,318402,301388,295338,329328,322676,322643
7호선,2711,장암,69584,58874,74040,78263,83574,77310,80725,80933,76384,85443,81435,76622
7호선,2712,도봉산(7),270778,231882,301185,319567,335249,298328,290520,279239,293396,327018,309285,291302
7호선,2713,수락산,416688,362460,442996,439977,457439,423781,429501,416829,396306,434213,421266,427076
7호선,2714,마들,370476,318896,383181,391816,405016,366422,382644,364893,358975,394242,387335,385709
7호선,2715,노원(7),663383,576684,671654,659558,695519,634981,673811,650257,605610,660984,653312,677263
7호선,2716,중계,478340,407961,504355,522411,536569,481753,502755,468941,468878,521179,509343,501280
7호선,2717,하계,591459,509345,628398,637647,657962,586906,607786,576691,574334,633544,632250,625246
7호선,2718,공릉,376192,328236,434896,427908,451707,391106,397212,367792,385913,423732,427468,408061
7호선,2719,태릉입구(7),257033,222920,301615,304962,358726,285143,272727,261816,279388,308975,300551,288665
7호선,2720,먹골,332625,285531,337678,338657,361030,319723,326647,312267,303233,340449,333798,337227
7호선,2721,중화,355215,305716,367180,373093,399985,350283,360876,345001,339021,372003,361129,363529
7호선,2722,상봉(7),537245,467105,556971,550861,569726,527627,548483,523729,503347,560130,551442,564692
7호선,2723,면목,472772,410704,530032,541805,551385,492083,487514,473427,485074,536527,519323,504898
7호선,2724,사가정,491030,427548,517317,520591,537396,489534,501115,475873,465913,515277,498092,507391
7호선,2725,용마산,193254,165799,202161,204396,210694,191255,198331,185783,181665,203185,194480,195159
