"행정구역","2020년12월_계_총인구수","2020년12월_계_연령구간인구수","2020년12월_계_0~9세","2020년12월_계_10~19세","2020년12월_계_20~29세","2020년12월_계_30~39세","2020년12월_계_40~49세","2020년12월_계_50~59세","2020년12월_계_60~69세","2020년12월_계_70~79세","2020년12월_계_80~89세","2020년12월_계_90~99세","2020년12월_계_100세 이상"
"서울특별시 강남구 일원1동(1168073000)","15,672","15,672","750","1,203","2,210","2,266","2,149","2,512","2,551","1,395","523","106","7"
"서울특별시 강남구 일원2동(1168074000)","17,643","17,643","1,242","1,763","1,943","2,577","3,048","2,601","2,490","1,478","422","75","4"
"서울특별시 강남구 수서동(1168075000)","15,231","15,231","632","581","1,614","2,316","1,652","2,257","3,355","1,969","692","156","7"
"서울특별시 송파구 (1171000000)","667,960","667,960","50,744","59,068","94,119","110,590","109,299","102,566","84,184","40,440","14,132","2,519","299"
"서울특별시 송파구 풍납1동(1171051000)","13,901","13,901","691","900","1,721","1,943","1,995","2,449","2,436","1,242","452","64","8"
"서울특별시 송파구 풍납2동(1171052000)","25,518","25,518","1,980","2,066","3,840","4,297","4,063","3,703","3,280","1,626","563","91","9"
"서울특별시 송파구 거여1동(1171053100)","12,980","12,980","670","1,024","1,849","1,756","1,959","2,333","1,927","1,042","364","53","3"
"서울특별시 송파구 거여2동(1171053200)","19,243","19,243","1,346","1,571","2,246","2,686","3,039","3,331","2,749","1,573","583","103","16"
"서울특별시 송파구 마천1동(1171054000)","19,731","19,731","989","1,619","2,383","2,235","2,859","3,615","3,274","1,906","730","103","18"
"서울특별시 송파구 마천2동(1171055000)","19,561","19,561","918","1,379","2,476","2,295","2,774","3,717","3,389","1,769","693","117","34"
"서울특별시 송파구 방이1동(1171056100)","16,188","16,188","1,095","1,688","2,488","2,280","2,693","2,700","1,952","859","366","60","7"
"서울특별시 송파구 방이2동(1171056200)","26,169","26,169","1,220","1,249","5,184","5,993","3,663","3,652","3,162","1,503","468","72","3"
"서울특별시 송파구 오륜동(1171056600)","18,484","18,484","1,321","2,812","2,183","1,717","3,404","3,131","2,445","1,023","350","97","1"
"서울특별시 송파구 오금동(1171057000)","39,504","39,504","2,866","3,229","5,605","5,693","5,844","6,878","5,679","2,510","993","197","10"
"서울특별시 송파구 송파1동(1171058000)","24,813","24,813","1,246","1,388","4,603","5,426","3,506","3,517","3,072","1,496","470","79","10"
"서울특별시 송파구 송파2동(1171059000)","20,646","20,646","1,637","1,947","2,925","3,071","3,187","3,365","2,842","1,169","413","78","12"
"서울특별시 송파구 석촌동(1171060000)","32,527","32,527","1,627","1,930","5,625","7,044","4,925","4,732","3,931","1,996","623","86","8"
"서울특별시 송파구 삼전동(1171061000)","31,455","31,455","1,596","2,036","5,383","6,676","5,195","4,515","3,680","1,717","538","106","13"
"서울특별시 송파구 가락본동(1171062000)","27,057","27,057","1,646","1,882","4,197","4,787","3,894","4,754","3,648","1,572","587","82","8"
"서울특별시 송파구 가락1동(1171063100)","27,792","27,792","3,251","2,207","3,548","5,341","4,451","4,028","3,283","1,305","313","60","5"
"서울특별시 송파구 가락2동(1171063200)","33,015","33,015","2,582","3,560","4,581","4,839","5,652","5,273","4,070","1,701","637","109","11"
"서울특별시 송파구 문정1동(1171064100)","20,689","20,689","1,351","1,529","3,303","3,591","2,895","3,392","2,933","1,207","406","68","14"
"서울특별시 송파구 문정2동(1171064200)","29,378","29,378","1,683","1,470","5,276","7,524","4,321","3,550","3,136","1,621","675","112","10"
"서울특별시 송파구 장지동(1171064600)","30,199","30,199","2,421","2,802","4,123","4,828","4,808","4,906","3,759","1,720","670","158","4"
"서울특별시 송파구 위례동(1171064700)","30,305","30,305","4,925","3,890","2,919","5,297","6,151","3,504","2,276","950","301","89","3"
"서울특별시 송파구 잠실본동(1171065000)","28,572","28,572","1,281","1,801","5,109","6,173","4,448","4,138","3,389","1,621","525","74","13"
"서울특별시 송파구 잠실2동(1171067000)","36,110","36,110","4,167","5,881","3,305","4,096","8,705","4,852","2,898","1,601","491","83","31"
"서울특별시 송파구 잠실3동(1171068000)","35,316","35,316","3,298","4,056","3,917","4,486","6,297","5,307","4,659","2,450","695","139","12"
"서울특별시 송파구 잠실4동(1171069000)","21,721","21,721","2,844","2,366","2,035","3,120","4,387","2,898","2,434","1,174","365","78","20"
"서울특별시 송파구 잠실6동(1171071000)","17,198","17,198","1,486","1,755","2,011","2,370","2,776","2,657","2,436","1,157","449","88","13"
"서울특별시 송파구 잠실7동(1171072000)","9,888","9,888","607","1,031","1,284","1,026","1,408","1,669","1,445","930","412","73","3"
"서울특별시 강동구 (1174000000)","459,970","459,970","34,750","38,961","61,457","72,086","74,044","72,227","63,244","30,632","10,450","1,864","255"
"서울특별시 강동구 강일동(1174051500)","35,609","35,609","3,018","4,654","4,303","4,370","6,015","5,390","4,369","2,315","990","170","15"
"서울특별시 강동구 상일동(1174052000)","33,222","33,222","4,199","3,325","3,596","5,320","5,928","4,809","4,039","1,480","430","90","6"
"서울특별시 강동구 명일제1동(1174053000)","26,288","26,288","2,147","2,512","3,266","4,163","4,252","4,068","3,593","1,612","559","107","9"
"서울특별시 강동구 명일제2동(1174054000)","17,513","17,513","1,169","2,540","2,200","1,882","3,123","2,751","2,447","976","331","87","7"
"서울특별시 강동구 고덕제1동(1174055000)","25,961","25,961","3,072","3,515","2,468","3,553","5,474","3,469","2,744","1,083","435","120","28"
"서울특별시 강동구 고덕제2동(1174056000)","22,457","22,457","2,561","1,958","2,455","3,996","3,795","3,298","2,819","1,114","366","90","5"
"서울특별시 강동구 암사제1동(1174057000)","35,432","35,432","2,191","2,645","4,850","5,288","5,599","6,010","5,042","2,735","905","142","25"
"서울특별시 강동구 암사제2동(1174058000)","15,443","15,443","1,441","1,010","1,999","2,925","2,412","2,238","1,929","1,080","344","53","12"
"서울특별시 강동구 암사제3동(1174059000)","18,371","18,371","2,058","1,918","1,972","2,617","3,284","2,697","2,352","1,062","335","67","9"
"서울특별시 강동구 천호제1동(1174060000)","27,488","27,488","1,466","1,768","3,852","4,105","4,106","4,630","4,401","2,278","736","127","19"
"서울특별시 강동구 천호제2동(1174061000)","34,550","34,550","1,728","1,872","4,981","6,288","5,033","5,743","5,079","2,737","917","147","25"
"서울특별시 강동구 천호제3동(1174062000)","26,585","26,585","1,318","1,306","4,234","4,801","3,790","4,269","3,950","2,075","732","95","15"
"서울특별시 강동구 성내제1동(1174064000)","20,228","20,228","1,594","1,738","2,715","3,392","3,319","3,041","2,582","1,320","448","74","5"
"서울특별시 강동구 성내제2동(1174065000)","24,305","24,305","1,122","1,209","3,993","4,318","3,508","3,832","3,661","1,911","648","85","18"
"서울특별시 강동구 성내제3동(1174066000)","23,429","23,429","1,294","1,770","3,629","3,580","3,615","3,978","3,243","1,690","534","83","13"
"서울특별시 강동구 길동(1174068500)","46,556","46,556","2,547","3,032","7,188","7,611","6,851","7,607","7,020","3,358","1,121","197","24"
"서울특별시 강동구 둔촌제1동(1174069000)","249","249","3","7","18","22","48","26","57","39","13","8","8"
"서울특별시 강동구 둔촌제2동(1174070000)","26,284","26,284","1,822","2,182","3,738","3,855","3,892","4,371","3,917","1,767","606","122","12"
"부산광역시  (2600000000)","3,391,946","3,391,946","232,356","272,014","430,987","419,014","511,148","568,913","531,620","293,299","115,680","15,028","1,887"
"부산광역시 중구 (2611000000)","41,523","41,523","1,320","2,027","5,679","4,471","5,394","7,074","7,891","5,110","2,097","375","85"
"부산광역시 중구 중앙동(2611051000)","2,482","2,482","37","76","616","430","280","361","379","194","83","23","3"
"부산광역시 중구 동광동(2611052000)","2,893","2,893","76","107","314","245","350","536","582","450","182","46","5"
"부산광역시 중구 대청동(2611053000)","6,520","6,520","214","383","936","675","915","1,100","1,149","777","290","72","9"
"부산광역시 중구 보수동(2611054500)","10,707","10,707","389","560","1,507","1,129","1,456","1,812","1,986","1,243","540","72","13"
"부산광역시 중구 부평동(2611056000)","4,672","4,672","111","192","542","482","549","808","1,005","637","273","48","25"
"부산광역시 중구 광복동(2611057000)","1,060","1,060","17","38","115","106","122","196","248","133","65","15","5"
"부산광역시 중구 남포동(2611058000)","1,028","1,028","16","28","66","89","109","206","299","155","45","14","1"
"부산광역시 중구 영주제1동(2611059000)","4,792","4,792","182","212","799","663","664","720","774","510","224","35","9"
"부산광역시 중구 영주제2동(2611060000)","7,369","7,369","278","431","784","652","949","1,335","1,469","1,011","395","50","15"
"부산광역시 서구 (2614000000)","108,135","108,135","5,622","7,287","13,541","11,206","14,707","18,002","19,114","12,369","5,426","738","123"
"부산광역시 서구 동대신제1동(2614051000)","4,563","4,563","213","286","587","487","595","760","794","523","280","34","4"
"부산광역시 서구 동대신제2동(2614052000)","7,635","7,635","334","519","765","653","1,010","1,310","1,447","1,042","491","60","4"
"부산광역시 서구 동대신제3동(2614053000)","7,775","7,775","436","528","1,195","882","1,047","1,152","1,293","810","369","54","9"
"부산광역시 서구 서대신제1동(2614054000)","13,689","13,689","1,115","1,078","1,729","1,862","2,125","2,079","1,848","1,240","524","84","5"
"부산광역시 서구 서대신제3동(2614056000)","8,639","8,639","607","837","1,017","891","1,339","1,433","1,329","762","370","51","3"
"부산광역시 서구 서대신제4동(2614057000)","7,908","7,908","629","780","937","857","1,256","1,292","1,141","649","316","47","4"
"부산광역시 서구 부민동(2614059000)","7,829","7,829","451","557","1,554","962","1,056","1,120","1,149","616","305","51","8"
"부산광역시 서구 아미동(2614061500)","7,080","7,080","103","303","777","542","823","1,248","1,543","1,095","545","72","29"
"부산광역시 서구 초장동(2614063000)","4,657","4,657","121","181","427","364","612","819","989","744","345","45","10"
"부산광역시 서구 충무동(2614064000)","10,088","10,088","495","524","1,410","1,209","1,297","1,734","1,758","1,135","457","55","14"
"부산광역시 서구 남부민제1동(2614065000)","5,081","5,081","136","201","465","457","597","945","1,134","778","318","43","7"
"부산광역시 서구 남부민제2동(2614066000)","9,587","9,587","326","527","899","745","1,227","1,680","2,074","1,490","537","70","12"
"부산광역시 서구 암남동(2614068000)","13,604","13,604","656","966","1,779","1,295","1,723","2,430","2,615","1,485","569","72","14"
"부산광역시 동구 (2617000000)","88,901","88,901","4,085","5,145","10,472","10,395","11,953","14,708","16,094","10,730","4,632","586","101"
"부산광역시 동구 초량제1동(2617051000)","4,837","4,837","171","278","663","507","709","782","873","594","229","26","5"
"부산광역시 동구 초량제2동(2617052000)","5,812","5,812","164","278","634","556","767","994","1,201","816","335","58","9"
"부산광역시 동구 초량제3동(2617053000)","11,477","11,477","990","732","1,753","2,342","1,745","1,597","1,289","682","284","55","8"
"부산광역시 동구 초량제6동(2617055000)","6,370","6,370","195","408","660","521","828","1,055","1,244","932","450","64","13"
"부산광역시 동구 수정제1동(2617056000)","4,247","4,247","181","319","508","402","578","723","744","544","222","21","5"
"부산광역시 동구 수정제2동(2617057000)","10,075","10,075","416","594","1,211","1,165","1,306","1,647","1,881","1,253","536","50","16"
"부산광역시 동구 수정제4동(2617059000)","4,128","4,128","112","238","370","304","487","716","815","726","321","37","2"
"부산광역시 동구 수정제5동(2617060000)","5,562","5,562","177","349","569","438","695","976","1,093","856","355","52","2"
"부산광역시 동구 좌천동(2617064500)","11,087","11,087","463","631","1,309","1,149","1,456","1,861","2,030","1,479","636","57","16"
"부산광역시 동구 범일제1동(2617065000)","12,009","12,009","377","631","1,288","1,155","1,425","2,131","2,576","1,589","740","84","13"
"부산광역시 동구 범일제2동(2617066000)","8,723","8,723","460","425","1,073","1,179","1,235","1,614","1,584","788","318","40","7"
"부산광역시 동구 범일제5동(2617068000)","4,574","4,574","379","262","434","677","722","612","764","471","206","42","5"
"부산광역시 영도구 (2620000000)","113,342","113,342","5,139","7,403","11,990","10,610","15,159","19,559","22,171","14,556","5,886","737","132"
"부산광역시 영도구 남항동(2620053000)","10,996","10,996","418","539","1,056","1,065","1,445","1,944","2,245","1,549","636","90","9"
"부산광역시 영도구 영선제1동(2620054000)","4,167","4,167","185","249","453","383","540","706","853","547","220","22","9"
"부산광역시 영도구 영선제2동(2620055000)","8,791","8,791","397","567","886","818","1,113","1,511","1,697","1,202","509","79","12"
"부산광역시 영도구 신선동(2620058500)","9,072","9,072","218","491","797","641","1,115","1,664","1,853","1,517","689","75","12"
"부산광역시 영도구 봉래제1동(2620059000)","7,280","7,280","353","425","739","742","976","1,186","1,460","892","420","57","30"
"부산광역시 영도구 봉래제2동(2620060500)","5,234","5,234","145","271","490","378","677","930","1,062","905","339","29","8"
"부산광역시 영도구 청학제1동(2620063000)","6,705","6,705","349","445","612","648","969","1,067","1,259","920","363","61","12"
"부산광역시 영도구 청학제2동(2620064000)","18,411","18,411","1,028","1,442","1,963","1,836","2,622","3,203","3,422","1,997","784","99","15"
"부산광역시 영도구 동삼제1동(2620065000)","28,740","28,740","1,529","2,234","3,481","2,867","4,017","5,038","5,241","3,013","1,168","137","15"
"부산광역시 영도구 동삼제2동(2620066000)","3,545","3,545","174","183","604","349","438","485","667","466","151","26","2"
"부산광역시 영도구 동삼제3동(2620067000)","10,401","10,401","343","557","909","883","1,247","1,825","2,412","1,548","607","62","8"
"부산광역시 부산진구 (2623000000)","359,886","359,886","21,318","25,005","52,781","47,994","51,698","58,636","56,014","31,765","12,919","1,524","232"
"부산광역시 부산진구 부전제1동(2623051000)","15,533","15,533","630","551","3,297","2,407","1,796","2,512","2,423","1,304","530","67","16"
"부산광역시 부산진구 부전제2동(2623052000)","9,915","9,915","620","465","1,937","1,751","1,474","1,530","1,302","564","219","46","7"
"부산광역시 부산진구 연지동(2623054000)","20,941","20,941","1,462","1,878","2,140","2,338","3,364","3,305","3,427","2,083","829","108","7"
"부산광역시 부산진구 초읍동(2623055000)","22,434","22,434","1,307","1,579","2,318","2,457","3,140","3,696","4,092","2,677","1,040","116","12"
"부산광역시 부산진구 양정제1동(2623056000)","20,536","20,536","1,191","1,545","2,993","2,496","3,009","3,616","3,076","1,710","804","84","12"
"부산광역시 부산진구 양정제2동(2623057000)","12,934","12,934","568","600","2,958","2,276","1,782","1,635","1,616","1,013","425","52","9"
"부산광역시 부산진구 전포제1동(2623060000)","21,842","21,842","1,367","1,256","4,601","4,104","3,008","2,778","2,454","1,502","664","92","16"
"부산광역시 부산진구 전포제2동(2623061000)","21,097","21,097","985","1,177","3,401","3,022","2,957","3,097","3,323","2,148","887","87","13"
"부산광역시 부산진구 부암제1동(2623064000)","23,088","23,088","1,956","1,887","2,582","3,073","3,797","3,794","3,227","1,973","687","81","31"
"부산광역시 부산진구 부암제3동(2623066000)","17,959","17,959","1,145","1,928","2,048","1,756","2,893","3,379","2,714","1,475","543","65","13"
"부산광역시 부산진구 당감제1동(2623067000)","23,800","23,800","1,181","1,981","2,939","2,356","3,458","4,465","4,123","2,154","985","146","12"
"부산광역시 부산진구 당감제2동(2623068000)","10,365","10,365","756","705","1,313","1,644","1,494","1,501","1,626","920","365","34","7"
"부산광역시 부산진구 당감제4동(2623070000)","11,691","11,691","702","950","1,270","1,321","1,800","2,225","1,900","1,056","414","46","7"
"부산광역시 부산진구 가야제1동(2623071000)","19,826","19,826","895","1,211","3,227","2,284","2,685","3,397","3,373","1,967","702","77","8"
"부산광역시 부산진구 가야제2동(2623072000)","17,158","17,158","1,030","1,393","2,151","1,872","2,442","2,893","2,953","1,715","616","80","13"
"부산광역시 부산진구 개금제1동(2623074000)","17,190","17,190","1,268","1,010","3,274","2,786","2,436","2,561","2,128","1,203","469","53","2"
"부산광역시 부산진구 개금제2동(2623075000)","11,299","11,299","638","833","1,574","1,177","1,534","1,942","1,938","1,163","457","40","3"
"부산광역시 부산진구 개금제3동(2623076000)","29,438","29,438","1,846","2,523","3,644","3,411","4,288","5,350","5,036","2,202","1,022","107","9"
"부산광역시 부산진구 범천제1동(2623077000)","12,016","12,016","507","481","2,501","2,265","1,544","1,697","1,660","889","414","49","9"
"부산광역시 부산진구 범천제2동(2623078000)","20,824","20,824","1,264","1,052","2,613","3,198","2,797","3,263","3,623","2,047","847","94","26"
"부산광역시 동래구 (2626000000)","270,745","270,745","19,635","24,970","32,682","33,078","43,184","44,392","41,028","22,291","8,253","1,093","139"
"부산광역시 동래구 수민동(2626051000)","33,017","33,017","2,643","2,781","3,975","4,386","5,041","5,388","4,956","2,695","998","135","19"
"부산광역시 동래구 복산동(2626052000)","10,175","10,175","351","654","1,125","906","1,263","1,797","2,053","1,330","592","82","22"
"부산광역시 동래구 명륜동(2626054500)","24,678","24,678","2,627","3,167","2,480","3,102","4,933","3,587","2,606","1,499","578","92","7"
"부산광역시 동래구 온천제1동(2626055000)","19,427","19,427","1,036","1,147","2,914","3,110","3,048","3,017","2,701","1,645","685","96","28"
"부산광역시 동래구 온천제2동(2626056000)","15,191","15,191","886","1,451","1,757","1,454","2,159","2,501","2,551","1,598","719","108","7"
"부산광역시 동래구 온천제3동(2626057000)","39,185","39,185","2,617","2,911","5,617","5,416","5,695","6,654","5,981","3,061","1,092","125","16"
"부산광역시 동래구 사직제1동(2626058000)","10,787","10,787","816","1,019","1,302","1,413","1,764","1,673","1,452","919","383","44","2"
"부산광역시 동래구 사직제2동(2626059000)","28,203","28,203","2,566","4,145","3,193","2,785","5,714","4,597","3,233","1,444","450","71","5"
"부산광역시 동래구 사직제3동(2626060000)","17,707","17,707","1,539","1,790","1,845","2,009","3,207","2,571","2,597","1,558","521","65","5"
"부산광역시 동래구 안락제1동(2626074000)","14,945","14,945","813","993","1,731","1,690","2,075","2,592","2,829","1,597","549","70","6"
"부산광역시 동래구 안락제2동(2626075000)","27,825","27,825","1,902","2,823","3,244","3,143","4,381","4,831","4,461","2,172","764","93","11"
"부산광역시 동래구 명장제1동(2626076100)","14,511","14,511","997","1,054","1,633","1,815","1,961","2,470","2,660","1,372","490","52","7"
"부산광역시 동래구 명장제2동(2626076200)","15,094","15,094","842","1,035","1,866","1,849","1,943","2,714","2,948","1,401","432","60","4"
"부산광역시 남구 (2629000000)","267,731","267,731","18,052","23,035","35,239","30,186","41,893","42,799","40,918","24,883","9,467","1,122","137"
"부산광역시 남구 대연제1동(2629051000)","15,988","15,988","537","941","3,592","1,857","2,065","2,263","2,375","1,661","622","63","12"
"부산광역시 남구 대연제3동(2629053000)","33,062","33,062","2,818","3,128","6,371","4,294","5,682","4,636","3,392","1,879","740","107","15"
"부산광역시 남구 대연제4동(2629054000)","12,602","12,602","1,047","865","1,233","1,783","1,873","1,868","1,991","1,357","528","48","9"
"부산광역시 남구 대연제5동(2629055000)","16,877","16,877","1,080","1,426","2,631","1,963","2,643","2,455","2,451","1,545","618","59","6"
"부산광역시 남구 대연제6동(2629056000)","15,608","15,608","1,797","1,533","1,762","2,226","2,745","2,233","1,829","1,050","374","52","7"
"부산광역시 남구 용호제1동(2629057000)","45,020","45,020","3,502","5,154","5,026","4,218","7,798","7,848","6,339","3,552","1,385","191","7"
"부산광역시 남구 용호제2동(2629058000)","17,318","17,318","1,447","1,803","1,671","1,840","2,911","2,728","2,792","1,498","543","76","9"
"부산광역시 남구 용호제3동(2629059000)","12,595","12,595","505","926","1,456","1,170","1,658","2,175","2,532","1,590","514","63","6"
"부산광역시 남구 용호제4동(2629060000)","8,752","8,752","537","650","925","1,060","1,349","1,374","1,620","892","296","39","10"
"부산광역시 남구 용당동(2629061000)","8,158","8,158","496","758","1,032","771","1,258","1,457","1,340","755","252","37","2"
"부산광역시 남구 감만제1동(2629062000)","13,850","13,850","710","991","1,557","1,397","2,004","2,346","2,622","1,573","584","51","15"
"부산광역시 남구 감만제2동(2629063000)","7,037","7,037","310","489","679","653","1,061","1,154","1,338","970","349","30","4"
"부산광역시 남구 우암동(2629064500)","13,273","13,273","635","903","1,307","1,290","1,853","2,182","2,697","1,669","634","92","11"
"부산광역시 남구 문현제1동(2629068000)","14,053","14,053","765","1,226","1,727","1,318","2,177","2,518","2,287","1,429","544","57","5"
"부산광역시 남구 문현제2동(2629069000)","8,835","8,835","356","392","1,300","1,304","1,199","1,347","1,398","1,005","469","53","12"
"부산광역시 남구 문현제3동(2629070000)","15,912","15,912","1,154","1,291","1,940","2,186","2,423","2,659","2,287","1,367","547","56","2"
"부산광역시 남구 문현제4동(2629071000)","8,791","8,791","356","559","1,030","856","1,194","1,556","1,628","1,091","468","48","5"
"부산광역시 북구 (2632000000)","283,952","283,952","18,994","23,301","37,585","33,517","40,485","53,951","45,465","21,308","8,206","1,036","104"
"부산광역시 북구 구포제1동(2632051000)","14,735","14,735","747","714","2,024","2,012","1,759","2,917","2,712","1,291","489","65","5"
"부산광역시 북구 구포제2동(2632052000)","26,303","26,303","1,457","1,779","3,681","3,314","3,505","5,256","4,500","2,022","693","77","19"
"부산광역시 북구 구포제3동(2632052100)","20,420","20,420","974","1,543","2,980","2,041","2,922","4,308","3,518","1,577","493","60","4"
"부산광역시 북구 금곡동(2632053000)","38,997","38,997","2,169","3,190","4,564","3,860","5,282","7,586","6,639","3,633","1,873","198","3"
"부산광역시 북구 화명제1동(2632054100)","42,593","42,593","4,107","4,515","5,898","5,455","6,663","8,359","5,156","1,763","586","86","5"
"부산광역시 북구 화명제2동(2632054200)","15,437","15,437","964","1,249","2,284","1,672","2,007","3,205","2,380","1,118","446","74","38"
"부산광역시 북구 화명제3동(2632054300)","30,381","30,381","2,626","3,948","4,011","3,160","5,476","5,469","3,184","1,722","701","83","1"
"부산광역시 북구 덕천제1동(2632055000)","12,314","12,314","464","569","1,569","1,501","1,481","2,255","2,488","1,316","597","69","5"
"부산광역시 북구 덕천제2동(2632056000)","12,417","12,417","449","639","1,913","1,512","1,534","2,333","2,387","1,142","442","62","4"
"부산광역시 북구 덕천제3동(2632056100)","11,118","11,118","459","637","1,429","1,173","1,474","1,991","2,149","1,271","477","52","6"
"부산광역시 북구 만덕제1동(2632057100)","12,841","12,841","969","785","1,493","2,033","1,601","2,213","2,289","1,070","337","46","5"
"부산광역시 북구 만덕제2동(2632057200)","27,243","27,243","2,324","2,384","3,290","3,395","4,231","4,605","4,412","1,901","605","89","7"
"부산광역시 북구 만덕제3동(2632057300)","19,153","19,153","1,285","1,349","2,449","2,389","2,550","3,454","3,651","1,482","467","75","2"
"부산광역시 해운대구 (2635000000)","402,169","402,169","28,511","38,150","49,068","46,789","65,829","70,290","57,902","30,796","12,974","1,698","162"
"부산광역시 해운대구 우제1동(2635051000)","23,031","23,031","1,305","1,599","3,051","2,981","3,474","3,871","3,657","2,163","796","108","26"
"부산광역시 해운대구 우제2동(2635052000)","31,196","31,196","2,873","3,167","3,532","3,850","5,328","5,399","3,914","2,086","890","149","8"
"부산광역시 해운대구 우제3동(2635052500)","28,674","28,674","2,868","3,133","2,884","3,481","4,970","4,837","3,775","1,842","772","108","4"
"부산광역시 해운대구 중제1동(2635053000)","26,523","26,523","2,065","2,431","3,377","3,326","4,556","4,627","3,385","1,860","795","84","17"
"부산광역시 해운대구 중제2동(2635054000)","15,863","15,863","1,248","1,151","1,696","2,234","2,718","2,757","2,446","1,131","409","65","8"
"부산광역시 해운대구 좌제1동(2635055100)","18,263","18,263","1,255","2,055","2,837","2,097","3,240","3,179","1,820","1,076","625","77","2"
"부산광역시 해운대구 좌제2동(2635055200)","32,243","32,243","2,077","2,915","5,100","4,468","5,031","5,734","3,798","1,955","1,042","121","2"
"부산광역시 해운대구 좌제3동(2635055300)","16,329","16,329","1,093","1,837","1,983","1,648","2,535","2,995","2,234","1,195","715","94","0"
"부산광역시 해운대구 좌제4동(2635055400)","23,436","23,436","1,758","3,038","3,004","2,362","4,092","4,326","2,671","1,367","721","97","0"
"부산광역시 해운대구 송정동(2635056000)","9,984","9,984","509","500","1,203","1,284","1,333","1,736","1,919","972","460","64","4"
"부산광역시 해운대구 반여제1동(2635057000)","35,333","35,333","2,646","4,234","4,246","3,709","6,319","6,290","4,669","2,210","871","135","4"
"부산광역시 해운대구 반여제2동(2635058000)","13,306","13,306","510","674","1,481","1,587","1,778","2,461","2,574","1,574","594","58","15"
"부산광역시 해운대구 반여제3동(2635059000)","9,017","9,017","253","531","991","823","1,155","1,743","1,881","1,118","466","50","6"
"부산광역시 해운대구 반여제4동(2635059500)","16,489","16,489","1,292","1,582","2,136","2,026","2,628","2,996","2,445","1,015","324","43","2"
"부산광역시 해운대구 반송제1동(2635061000)","14,394","14,394","378","783","1,653","1,175","1,772","2,765","2,834","2,062","841","104","27"
"부산광역시 해운대구 반송제2동(2635062000)","24,250","24,250","955","1,532","2,474","2,037","3,207","4,299","5,117","3,168","1,271","167","23"
"부산광역시 해운대구 재송제1동(2635065000)","38,404","38,404","4,108","4,937","4,183","4,826","7,802","5,515","4,278","1,999","661","88","7"
"부산광역시 해운대구 재송제2동(2635066000)","25,434","25,434","1,318","2,051","3,237","2,875","3,891","4,760","4,485","2,003","721","86","7"
"부산광역시 사하구 (2638000000)","311,757","311,757","19,969","25,385","39,828","36,977","46,023","54,882","51,242","26,235","9,701","1,353","162"
"부산광역시 사하구 괴정제1동(2638051000)","20,127","20,127","1,103","1,603","2,353","2,289","2,750","3,450","3,512","2,036","868","135","28"
"부산광역시 사하구 괴정제2동(2638052000)","14,343","14,343","903","1,128","1,552","1,526","2,201","2,325","2,590","1,532","508","69","9"
"부산광역시 사하구 괴정제3동(2638053000)","12,984","12,984","552","764","1,469","1,561","1,678","2,214","2,598","1,508","556","72","12"
"부산광역시 사하구 괴정제4동(2638054000)","11,346","11,346","534","792","1,426","1,142","1,592","1,965","2,162","1,229","442","55","7"
"부산광역시 사하구 당리동(2638055000)","27,246","27,246","1,697","2,339","3,482","3,090","3,912","4,841","4,648","2,306","827","95","9"
"부산광역시 사하구 하단제1동(2638056100)","21,792","21,792","1,250","1,697","3,644","2,871","2,992","3,658","3,347","1,633","617","73","10"
"부산광역시 사하구 하단제2동(2638056200)","25,446","25,446","1,460","2,023","5,069","3,189","3,511","4,178","3,546","1,770","624","72","4"
"부산광역시 사하구 신평제1동(2638057100)","17,685","17,685","1,110","1,192","1,974","2,201","2,634","3,226","3,075","1,609","554","87","23"
"부산광역시 사하구 신평제2동(2638057200)","16,012","16,012","1,109","1,337","2,149","2,241","2,419","2,938","2,434","976","350","57","2"
"부산광역시 사하구 장림제1동(2638058000)","11,175","11,175","978","981","1,062","1,534","2,013","1,782","1,638","874","286","25","2"
"부산광역시 사하구 장림제2동(2638059000)","28,080","28,080","1,996","2,476","3,561","3,741","4,463","4,934","4,339","1,934","556","77","3"
"부산광역시 사하구 다대제1동(2638060100)","39,923","39,923","3,147","4,004","4,575","4,414","6,587","7,176","5,801","2,868","1,172","168","11"
"부산광역시 사하구 다대제2동(2638060200)","28,094","28,094","1,736","2,500","3,367","2,773","4,043","5,439","4,829","2,265","974","161","7"
"부산광역시 사하구 구평동(2638061000)","11,680","11,680","1,299","839","1,324","2,058","1,818","1,832","1,589","663","210","42","6"
"부산광역시 사하구 감천제1동(2638062000)","19,425","19,425","957","1,454","2,266","1,883","2,645","3,694","3,772","1,963","683","95","13"
"부산광역시 사하구 감천제2동(2638063000)","6,399","6,399","138","256","555","464","765","1,230","1,362","1,069","474","70","16"
"부산광역시 금정구 (2641000000)","232,666","232,666","13,033","17,710","33,309","25,228","32,184","40,618","38,764","21,672","8,757","1,192","199"
"부산광역시 금정구 서제1동(2641051000)","5,911","5,911","108","278","568","495","757","1,165","1,344","811","339","34","12"
"부산광역시 금정구 서제2동(2641052000)","9,813","9,813","339","483","1,150","960","1,203","1,973","2,174","1,089","380","48","14"
"부산광역시 금정구 서제3동(2641053000)","11,489","11,489","354","566","1,243","1,122","1,358","2,338","2,434","1,456","552","56","10"
"부산광역시 금정구 금사회동동(2641055500)","8,243","8,243","277","360","843","823","987","1,609","1,906","1,054","332","48","4"
"부산광역시 금정구 부곡제1동(2641057000)","8,620","8,620","302","464","904","815","1,125","1,484","1,785","1,224","462","52","3"
